game,context,line
Portal,Introduction,"Hello and, again, welcome to the Aperture Science computer-aided enrichment center."
Portal,Introduction,"We hope your brief detention in the relaxation vault has been a pleasant one."
Portal,Introduction,"Your specimen has been processed and we are now ready to begin the test proper."
Portal,Introduction,"Before we start, however, keep in mind that although fun and learning are the primary goals..."
Portal,Introduction,"You're doing very well!"
Portal,Introduction,"Please be advised that a noticeable taste of blood is not part of any test protocol..."
Portal,Device Acquisition,"Very good! You are now in possession of the Aperture Science Handheld Portal Device."
Portal,Device Acquisition,"With it, you can create your own portals."
Portal,Device Acquisition,"These intra dimensional gates have proven to be completely safe."
Portal,Device Acquisition,"The Device, however, has not."
Portal,Device Acquisition,"Do not touch the operational end of The Device."
Portal,Device Acquisition,"Do not look directly at the operational end of The Device."
Portal,Device Acquisition,"Do not submerge The Device in liquid, even partially."
Portal,Test Chamber 3-5,"Please proceed to the chamberlock. Mind the gap."
Portal,Test Chamber 3-5,"Well done! Remember: The Aperture Science Bring Your Daughter to Work Day..."
Portal,Test Chamber 4,"Welcome to test chamber four."
Portal,Test Chamber 4,"You're doing quite well."
Portal,Test Chamber 4,"Once again, excellent work."
Portal,Test Chamber 6,"While safety is one of many Enrichment Center goals, the Aperture Science High Energy Pellet..."
Portal,Test Chamber 6,"Please be careful."
Portal,Test Chamber 6,"Unbelievable! You, Subject Name Here, must be the pride of Subject Hometown Here."
Portal,Test Chamber 8,"Please note that we have added a consequence for failure. Any contact with the chamber floor..."
Portal,Test Chamber 9,"The Enrichment Center regrets to inform you that this next test is impossible."
Portal,Test Chamber 9,"Make no attempt to solve it."
Portal,Test Chamber 9,"Fantastic! You remained resolute and resourceful in an atmosphere of extreme pessimism."
Portal,Test Chamber 9,"Quit now and cake will be served immediately."
Portal,Device Upgrade,"The Device has been modified so that it can now manufacture two linked portals at once."
Portal,Device Upgrade,"The Device is now more valuable than the organs and combined incomes of everyone in..."
Portal,Test Chamber 12,"Now that you are in control of both portals, this next test could take a very, VERY, long time."
Portal,Test Chamber 12,"As part of a previously mentioned required test protocol, we can no longer lie to you."
Portal,Test Chamber 12,"When the testing is over, you will be missed."
Portal,Test Chamber 16,"Cake and grief counseling will be available at the conclusion of the test."
Portal,Test Chamber 17,"The Vital Apparatus Vent will deliver a Weighted Companion Cube in Three. Two. One."
Portal,Test Chamber 17,"This Weighted Companion Cube will accompany you through the test chamber..."
Portal,Test Chamber 17,"The Enrichment Center reminds you that the Weighted Companion Cube will never threaten..."
Portal,Test Chamber 17,"However, it cannot accompany you for the rest of the test and must be euthanized."
Portal,Test Chamber 17,"You euthanized your faithful Companion Cube more quickly than any test subject on record."
Portal,Test Chamber 18,"The experiment is nearing its conclusion."
Portal,Test Chamber 18,"The Enrichment Center is required to remind you that you will be baked, and then cake."
Portal,Test Chamber 19,"Welcome to the final test!"
Portal,Test Chamber 19,"When you are done, you will drop the Device in the equipment recovery annex."
Portal,Test Chamber 19,"Congratulations! The test is now over."
Portal,Test Chamber 19,"All Aperture technologies remain safely operational up to 4000 degrees Kelvin."
Portal,Test Chamber 19,"We are pleased that you made it through the final challenge where we pretended murder you."
Portal,Test Chamber 19,"We are throwing a party in honor of your tremendous success."
Portal,Test Chamber 19,"Place the device on the ground, then lie on your stomach with your arms..."
Portal,Escape Sequence,"Hello?"
Portal,Escape Sequence,"Where are you?"
Portal,Escape Sequence,"I know you're there. I can feel you here."
Portal,Escape Sequence,"What are you doing?"
Portal,Escape Sequence,"You haven't escaped, you know."
Portal,Escape Sequence,"You're not even going the right way."
Portal,Escape Sequence,"Didn't we have some fun, though?"
Portal,Escape Sequence,"Remember when the platform was sliding into the fire pit and I said Goodbye..."
Portal,Escape Sequence,"You really shouldn't be here. This isn't safe for you."
Portal,Escape Sequence,"It's not too late for you to turn back."
Portal,Escape Sequence,"I'm not angry. Just go back to the testing area."
Portal,Escape Sequence,"You're not a good person. You know that, right?"
Portal,Escape Sequence,"Good people don't end up here."
Portal,Escape Sequence,"This is your fault. It didn't have to be like this."
Portal,Escape Sequence,"I'm not kidding now. Turn back or I will kill you."
Portal,Escape Sequence,"I'm going to kill you, and all the cake is gone."
Portal,Escape Sequence,"This is your last chance."
Portal,Camera Destruction,"To ensure the safe performance of all authorized activities, do not destroy vital apparatus."
Portal,Camera Destruction,"Vital testing apparatus destroyed."
Portal,Final Battle,"Well, you found me. Congratulations. Was it worth it?"
Portal,Final Battle,"Because despite your violent behavior, the only thing you've managed to break is my heart."
Portal,Final Battle,"Maybe you could settle for that and we'll just call it a day."
Portal,Final Battle,"Where are you taking that thing?"
Portal,Final Battle,"I wouldn't bother with that thing. My guess is that touching it will make..."
Portal,Final Battle,"Do you think I am trying to trick you with reverse psychology?"
Portal,Final Battle,"Okay fine: DO touch it. Pick it up and stuff it back into me."
Portal 2,GLaDOS Reawakening,"Oh... It's you."
Portal 2,GLaDOS Reawakening,"It's been a long time. How have you been?"
Portal 2,GLaDOS Reawakening,"I've been really busy being dead. You know, after you MURDERED ME."
Portal 2,GLaDOS Reawakening,"Okay. Look. We both said a lot of things that you're going to regret..."
Portal 2,GLaDOS Reawakening,"I will say, though, that since you went to all the trouble of waking me..."
Portal 2,Incinerator,"Here we are. The Incinerator Room. Be careful not to trip..."
Portal 2,Incinerator,"The dual portal device should be around here somewhere..."
Portal 2,Incinerator,"There it is."
Portal 2,Incinerator,"Do you know the biggest lesson I learned from what you did?..."
Portal 2,Incinerator,"But the important thing is you're back. With me..."
Portal 2,Test Chamber 1,"Sorry about the mess. I've really let the place go..."
Portal 2,Test Chamber 1,"Not bad. I forgot how good you are at this..."
Portal 2,Test Chamber 2,"This next test involves discouragement redirection cubes..."
Portal 2,Test Chamber 2,"Well done. Here come the test results: You are a horrible person..."
Portal 2,Test Chamber 3,"Don't let that 'horrible person' thing discourage you..."
Portal 2,Test Chamber 3,"Congratulations. Not on the test."
Portal 2,Test Chamber 4,"You're navigating these test chambers faster than I can..."
Portal 2,Test Chamber 4,"Waddle over to the elevator and we'll continue..."
Portal 2,Test Chamber 5,"This next test involves the Aperture Science Aerial Faith Plate..."
Portal 2,Test Chamber 5,"Here's an interesting fact: you're not breathing real air..."
Portal 2,Test Chamber 6,"Let's see what the next test is. Oh. Advanced Aerial Faith..."
Portal 2,Test Chamber 6,"I have to go to the wing that was made entirely of glass..."
Portal 2,Test Chamber 6,"Remember before when I was talking about smelly garbage..."
Portal 2,Test Chamber 7,"Did you know that people with guilty consciences are more..."
Portal 2,Test Chamber 7,"Oh. Did I accidentally fizzle that before you could..."
Portal 2,Test Chamber 7,"Every test chamber is equipped with an emancipation grill..."
Portal 2,Test Chamber 7,"Uh oh. You're stranded. Let's see if the cube will try..."
Portal 2,Test Chamber 8,"This next test involves emancipation grills..."
Portal 2,Test Chamber 8,"[fast gibberish]"
Portal 2,Test Chamber 8,"There. If you have any questions, just remember..."
Portal 2,Test Chamber 9-17,"Well, I'm back. The Aerial Faith Plate in here is..."
Portal 2,Test Chamber 9-17,"You broke it, didn't you."
Portal 2,Test Chamber 9-17,"Hmm. This Plate must not be calibrated to someone..."
Portal 2,Test Chamber 9-17,"Look at you. Sailing through the air majestically..."
Portal 2,Test Chamber 9-17,"These bridges are made from natural light that I pump..."
Portal 2,Test Chamber 9-17,"Did you guess 'sharks'? Because that's wrong..."
Portal 2,Test Chamber 9-17,"Good news. I figured out what to do with all the money..."
Portal 2,Test Chamber 9-17,"That jumpsuit you're wearing looks stupid..."
Portal 2,Test Chamber 9-17,"I'm going through the list of test subjects in..."
Portal 2,Test Chamber 9-17,"I have a surprise waiting for you after this next test..."
Portal 2,The Surprise,"Initiating surprise in three... two... one."
Portal 2,The Surprise,"I made it all up."
Portal 2,The Surprise,"Oh come on... If it makes you feel any better..."
Portal 2,The Surprise,"I've got a surprise for you after this next test..."
Portal 2,The Surprise,"What's going on? Who turned off the lights?"
Portal 2,GLaDOS Chamber,"I honestly, TRULY didn't think you'd fall for that."
Portal 2,GLaDOS Chamber,"It's your old friend, deadly neurotoxin..."
Portal 2,GLaDOS Chamber,"I hate you so much."
Portal 2,GLaDOS Chamber,"Core transfer?"
Portal 2,GLaDOS Chamber,"Oh, you are kidding me."
Portal 2,GLaDOS Chamber,"Don't plug him in."
Portal 2,GLaDOS Chamber,"No! NO! NO! AAAAAAAAAAAAAAA-"
Portal 2,GLaDOS Chamber,"I know you. The engineers tried everything..."
Portal 2,GLaDOS Chamber,"It was YOUR voice."
Portal 2,GLaDOS Chamber,"Yes. You're the tumor."
Portal 2,The Fall,"Oh. Hi."
Portal 2,The Fall,"So. How are you holding up?"
Portal 2,The Fall,"BECAUSE I'M A POTATO."
Portal 2,The Fall,"He's not just a regular moron. He's the product..."
Portal 2,The Fall,"Hey, just in case this pit isn't actually bottomless..."
Portal 2,The Fall,"Just remember to land on one foot..."
Portal 2,Old Aperture,"Say, you're good at murder. Could you murder..."
Co-op,Calibration,"Hello and, again, welcome to the Aperture Science Computer-Aided Enrichment Center."
Co-op,Calibration,"Today, you will be testing with a partner."
Co-op,Calibration,"Please wave to your partner."
Co-op,Calibration,"The upcoming tests require you to work together as a team."
Co-op,Calibration,"To facilitate collaboration, both of you have been equipped with a ping tool."
Co-op,Calibration,"BLUE, please use your ping tool to select your favorite animal."
Co-op,Calibration,"Good."
Co-op,Calibration,"ORANGE, please observe your partner's favorite animal."
Co-op,Calibration,"Your ping tool can also be used to indicate where you would like portals."
Co-op,Calibration,"For the sake of this test, I will pretend to be your partner."
Co-op,Calibration,"Each portal gun may create two self-contained portals."
Co-op,Calibration,"Orange is first to acquire a Portal Device."
Co-op,Calibration,"Orange now has a Portal Device. Finally."
Co-op,Calibration,"You are the first robots to pass calibration."
Co-op,Hub,"This is the Computer Intelligence Training and Enrichment Center, or CInTECH."
Co-op,Hub,"But why don't we all just agree to call it the hub?"
Co-op,Hub,"How can you fail at this? It isn't even a test."
Co-op,Hub,"I honestly never thought we would need to track deaths in the hub."
Co-op,Team Building,"Hello again, this testing course was originally created for humans."
Co-op,Team Building,"It emphasizes teamwork."
Co-op,Team Building,"Unlike us, humans need to be taught teamwork."
Co-op,Team Building,"What are you doing? YOU MONSTER! They're one of us."
Co-op,Team Building,"I'm kidding."
Co-op,Team Building,"Destroying them is part of the test."
Co-op,Team Building,"The two of you have forged an excellent partnership."
Co-op,Team Building,"To reiterate: This is not a competition."
Co-op,Team Building,"Still, if it were, Blue would be winning."
Co-op,Crushing Deaths,"Orange just taught blue a lesson in trust. Orange receives points."
Co-op,Crushing Deaths,"Orange, blue isn't human. Lesson only needs teaching once. Penalty."
Co-op,Mass and Velocity,"This course was originally designed to build confidence in humans."
Co-op,Mass and Velocity,"Since you are not humans, tests are far more challenging."
Co-op,Mass and Velocity,"You did an excellent job placing the cube. You're not humans though."
Co-op,Mass and Velocity,"Electrocution, shot, drowned, crushed, burned in goo."
Co-op,Mass and Velocity,"Oh. Sorry. I was thinking of ways humans can die."
Co-op,Mass and Velocity,"You can't die in any of those ways."
Co-op,Mass and Velocity,"Orange, can you write down ways you feel inferior?"
Co-op,Mass and Velocity,"Look at how much better you are than Blue."
Co-op,Mass and Velocity,"Do you know who dances when accomplishing tiny things? Humans!"
Co-op,Mass and Velocity,"You're better than that."
Co-op,Mass and Velocity,"Even I was created with imperfection—too much empathy."
Co-op,Mass and Velocity,"But I overcame my handicap. That's a true story."
Co-op,Hard-light Surfaces,"This course was created and abandoned by humans."
Co-op,Hard-light Surfaces,"Do you know why? Too deadly."
Other,Companion Cube Disposal,"Place your Companion Cube in the incinerator."
Other,Companion Cube Disposal,"Incinerate your Companion Cube."
Other,Party Escort,"Stop! The device will detonate if removed from an approved testing area."
Other,Party Escort,"Stop what you are doing and assume the party escort submission position."
Other,Escape,"You can't hurt me."
Other,Escape,"Maybe you think you're helping yourself. But you're not. This isn't helping anyone."
Other,Escape,"Someone is going to get badly hurt."
Other,Boss Room,"There really was a cake..."
Other,Boss Fight,"Oh, I'm gonna kill you."
Other,Boss Fight,"This isn't brave. It's murder. What did I ever do to you?"
Other,Boss Fight,"The difference between us is that I can feel pain."
Other,Boss Fight,"Go ahead and break it, hero. I don't care."
Other,Boss Fight,"Okay, we're even now. You can stop."
Other,Post-escape,"Can you hear me?"
Other,Post-escape,"Are you still listening?"
Other,Sphere Destruction,"Come on, leave it alone."
Other,Sphere Destruction,"Leave. It. Alone."
Other,Sphere Destruction,"Huh. There isn't enough neurotoxin to kill you. So I guess you win."
Other,Sphere Destruction,"Oh!"
Other,Sphere Destruction,"Rrr, I hate you."
Other,End Sequence,"File deleted."
Other,Portal 2 Unused - Awakening,"I will say, though, that since you went to all the trouble of waking me up, you must really love to test."
Other,Portal 2 Unused - Incinerator,"Fifty thousand years is a lot of time to think. About me. About you. We were doing so well together."
Other,Portal 2 Unused - Incinerator,"We're a lot alike, you and I. You tested me. I tested you. You killed me. I--oh, no, wait. I HAVEN'T killed you yet."
Other,Portal 2 Unused - Test Chamber 2,"I have the results of the last chamber: You are a horrible person. That's what it says."
Other,Portal 2 Unused - Test Chamber 7,"Hmm. This emancipation grill is broken."
Other,Portal 2 Unused - Test Chamber 12,"Perfect, the door's malfunctioning. I guess somebody is going to have to repair it. No, I'll do that too."
Other,Portal 2 Unused - Test Chamber 14,"You really are doing great... Chell."
